,Date,Year,Month#,Month,Franchise,City,Product,Sales,Profit,Target Profit,Target Sales,Target Status
91,2022-08-01,2022,8,August,M2,Mumbai,Amaretto,41.0,10.0,20.0,40.0,Achieved
92,2022-09-01,2022,9,September,M2,Mumbai,Amaretto,145.0,22.0,30.0,140.0,Achieved
93,2022-10-01,2022,10,October,M2,Mumbai,Amaretto,127.0,37.0,50.0,110.0,Achieved
94,2022-11-01,2022,11,November,M2,Mumbai,Amaretto,112.0,-7.0,20.0,130.0,Not Achieved
95,2022-12-01,2022,12,December,M2,Mumbai,Amaretto,139.0,36.0,50.0,160.0,Not Achieved
96,2023-01-01,2023,1,January,M2,Mumbai,Amaretto,245.0,146.0,100.0,220.0,Achieved
97,2023-02-01,2023,2,February,M2,Mumbai,Amaretto,157.0,53.0,50.0,140.0,Achieved
98,2023-03-01,2023,3,March,M2,Mumbai,Amaretto,162.0,-3.0,30.0,180.0,Not Achieved
99,2023-04-01,2023,4,April,M2,Mumbai,Amaretto,50.0,17.0,20.0,40.0,Achieved
100,2023-05-01,2023,5,May,M2,Mumbai,Amaretto,134.0,20.0,30.0,120.0,Achieved
101,2023-06-01,2023,6,June,M2,Mumbai,Amaretto,104.0,31.0,30.0,80.0,Achieved
102,2023-07-01,2023,7,July,M2,Mumbai,Amaretto,168.0,2.0,40.0,180.0,Not Achieved
103,2023-08-01,2023,8,August,M2,Mumbai,Amaretto,190.0,73.0,80.0,210.0,Not Achieved
104,2023-09-01,2023,9,September,M2,Mumbai,Amaretto,259.0,156.0,120.0,250.0,Achieved
105,2023-10-01,2023,10,October,M2,Mumbai,Amaretto,149.0,49.0,50.0,140.0,Achieved
106,2023-11-01,2023,11,November,M2,Mumbai,Amaretto,141.0,-40.0,0.0,160.0,Not Achieved
107,2023-12-01,2023,12,December,M2,Mumbai,Amaretto,48.0,15.0,20.0,40.0,Achieved
108,2024-01-01,2024,1,January,M2,Mumbai,Amaretto,126.0,18.0,30.0,120.0,Achieved
109,2024-02-01,2024,2,February,M2,Mumbai,Amaretto,108.0,37.0,40.0,90.0,Achieved
110,2024-03-01,2024,3,March,M2,Mumbai,Amaretto,137.0,-6.0,40.0,160.0,Not Achieved
111,2024-04-01,2024,4,April,M2,Mumbai,Amaretto,176.0,68.0,70.0,200.0,Not Achieved
112,2024-05-01,2024,5,May,M2,Mumbai,Amaretto,227.0,134.0,100.0,220.0,Achieved
113,2024-06-01,2024,6,June,M2,Mumbai,Amaretto,143.0,47.0,50.0,140.0,Achieved
114,2024-07-01,2024,7,July,M2,Mumbai,Amaretto,133.0,-61.0,0.0,150.0,Not Achieved
115,2024-08-01,2024,8,August,M2,Mumbai,Amaretto,48.0,15.0,20.0,40.0,Achieved
116,2024-09-01,2024,9,September,M2,Mumbai,Amaretto,128.0,19.0,30.0,120.0,Achieved
117,2024-10-01,2024,10,October,M2,Mumbai,Amaretto,114.0,43.0,40.0,100.0,Achieved
118,2024-11-01,2024,11,November,M2,Mumbai,Amaretto,133.0,-4.0,30.0,150.0,Not Achieved
119,2024-12-01,2024,12,December,M2,Mumbai,Amaretto,174.0,67.0,70.0,200.0,Not Achieved
120,2025-01-01,2025,1,January,M2,Mumbai,Amaretto,238.0,142.0,110.0,230.0,Achieved
121,2025-02-01,2025,2,February,M2,Mumbai,Amaretto,137.0,42.0,50.0,130.0,Achieved
122,2025-03-01,2025,3,March,M2,Mumbai,Amaretto,117.0,-113.0,0.0,130.0,Not Achieved
123,2025-04-01,2025,4,April,M2,Mumbai,Amaretto,50.0,16.0,10.0,40.0,Achieved
124,2025-05-01,2025,5,May,M2,Mumbai,Amaretto,135.0,24.0,20.0,130.0,Achieved
125,2025-06-01,2025,6,June,M2,Mumbai,Amaretto,129.0,49.0,40.0,110.0,Achieved
126,2025-07-01,2025,7,July,M2,Mumbai,Amaretto,133.0,-4.0,30.0,150.0,Not Achieved
127,2025-08-01,2025,8,August,M2,Mumbai,Amaretto,178.0,70.0,70.0,200.0,Not Achieved
128,2025-09-01,2025,9,September,M2,Mumbai,Amaretto,254.0,153.0,120.0,260.0,Not Achieved
129,2025-10-01,2025,10,October,M2,Mumbai,Amaretto,122.0,37.0,40.0,120.0,Achieved
130,2025-11-01,2025,11,November,M2,Mumbai,Amaretto,105.0,-116.0,0.0,130.0,Not Achieved
131,2025-12-01,2025,12,December,M2,Mumbai,Amaretto,49.0,17.0,20.0,50.0,Not Achieved
132,2026-01-01,2026,1,January,M2,Mumbai,Amaretto,129.0,23.0,20.0,130.0,Not Achieved
133,2026-02-01,2026,2,February,M2,Mumbai,Amaretto,124.0,48.0,40.0,110.0,Achieved
134,2026-03-01,2026,3,March,M2,Mumbai,Amaretto,127.0,-3.0,40.0,160.0,Not Achieved
135,2026-04-01,2026,4,April,M2,Mumbai,Amaretto,147.0,52.0,60.0,180.0,Not Achieved
136,2026-05-01,2026,5,May,M2,Mumbai,Amaretto,274.0,167.0,130.0,280.0,Not Achieved
137,2026-06-01,2026,6,June,M2,Mumbai,Amaretto,117.0,33.0,40.0,120.0,Not Achieved
138,2026-07-01,2026,7,July,M2,Mumbai,Amaretto,95.0,-156.0,0.0,120.0,Not Achieved
139,2026-08-01,2026,8,August,M2,Mumbai,Amaretto,57.0,25.0,30.0,60.0,Not Achieved
140,2026-09-01,2026,9,September,M2,Mumbai,Amaretto,132.0,26.0,20.0,130.0,Achieved
141,2026-10-01,2026,10,October,M2,Mumbai,Amaretto,137.0,57.0,50.0,130.0,Achieved
142,2026-11-01,2026,11,November,M2,Mumbai,Amaretto,106.0,-8.0,30.0,130.0,Not Achieved
143,2026-12-01,2026,12,December,M2,Mumbai,Amaretto,141.0,50.0,60.0,170.0,Not Achieved
144,2021-01-01,2021,1,January,M3,Mumbai,Amaretto,254.0,153.0,120.0,260.0,Not Achieved
145,2021-02-01,2021,2,February,M3,Mumbai,Amaretto,109.0,28.0,40.0,110.0,Not Achieved
146,2021-03-01,2021,3,March,M3,Mumbai,Amaretto,86.0,-190.0,0.0,100.0,Not Achieved
147,2021-04-01,2021,4,April,M3,Mumbai,Amaretto,60.0,23.0,30.0,60.0,Achieved
148,2021-05-01,2021,5,May,M3,Mumbai,Amaretto,132.0,25.0,20.0,130.0,Achieved
149,2021-06-01,2021,6,June,M3,Mumbai,Amaretto,150.0,68.0,70.0,140.0,Achieved
150,2021-07-01,2021,7,July,M3,Mumbai,Amaretto,94.0,-14.0,20.0,110.0,Not Achieved
151,2021-08-01,2021,8,August,M3,Mumbai,Amaretto,131.0,44.0,60.0,160.0,Not Achieved
152,2021-09-01,2021,9,September,M3,Mumbai,Amaretto,298.0,184.0,140.0,310.0,Not Achieved
153,2021-10-01,2021,10,October,M3,Mumbai,Amaretto,107.0,26.0,40.0,110.0,Not Achieved
154,2021-11-01,2021,11,November,M3,Mumbai,Amaretto,86.0,-192.0,0.0,100.0,Not Achieved
155,2021-12-01,2021,12,December,M3,Mumbai,Amaretto,62.0,26.0,30.0,60.0,Achieved
156,2022-01-01,2022,1,January,M3,Mumbai,Amaretto,139.0,29.0,30.0,140.0,Not Achieved
157,2022-02-01,2022,2,February,M3,Mumbai,Amaretto,150.0,66.0,70.0,140.0,Achieved
158,2022-03-01,2022,3,March,M3,Mumbai,Amaretto,88.0,-15.0,20.0,110.0,Not Achieved
159,2022-04-01,2022,4,April,M3,Mumbai,Amaretto,109.0,33.0,40.0,130.0,Not Achieved
160,2022-05-01,2022,5,May,M3,Mumbai,Amaretto,322.0,199.0,140.0,310.0,Achieved
161,2022-06-01,2022,6,June,M3,Mumbai,Amaretto,133.0,42.0,50.0,130.0,Achieved
162,2022-07-01,2022,7,July,M3,Mumbai,Amaretto,116.0,-110.0,0.0,130.0,Not Achieved
163,2022-08-01,2022,8,August,M3,Mumbai,Amaretto,51.0,19.0,20.0,50.0,Achieved
164,2022-09-01,2022,9,September,M3,Mumbai,Amaretto,159.0,34.0,30.0,150.0,Achieved
165,2022-10-01,2022,10,October,M3,Mumbai,Amaretto,128.0,49.0,50.0,110.0,Achieved
166,2022-11-01,2022,11,November,M3,Mumbai,Amaretto,134.0,-4.0,30.0,150.0,Not Achieved
167,2022-12-01,2022,12,December,M3,Mumbai,Amaretto,145.0,49.0,70.0,170.0,Not Achieved
168,2023-01-01,2023,1,January,M3,Mumbai,Amaretto,322.0,197.0,160.0,300.0,Achieved
169,2023-02-01,2023,2,February,M3,Mumbai,Amaretto,131.0,39.0,60.0,110.0,Achieved
170,2023-03-01,2023,3,March,M3,Mumbai,Amaretto,116.0,-110.0,0.0,150.0,Not Achieved
171,2023-04-01,2023,4,April,M3,Mumbai,Amaretto,55.0,22.0,30.0,40.0,Achieved
172,2023-05-01,2023,5,May,M3,Mumbai,Amaretto,134.0,22.0,50.0,120.0,Achieved
173,2023-06-01,2023,6,June,M3,Mumbai,Amaretto,128.0,49.0,60.0,90.0,Achieved
174,2023-07-01,2023,7,July,M3,Mumbai,Amaretto,130.0,-7.0,50.0,170.0,Not Achieved
175,2023-08-01,2023,8,August,M3,Mumbai,Amaretto,151.0,53.0,90.0,200.0,Not Achieved
176,2023-09-01,2023,9,September,M3,Mumbai,Amaretto,309.0,190.0,130.0,280.0,Achieved
177,2023-10-01,2023,10,October,M3,Mumbai,Amaretto,147.0,49.0,50.0,130.0,Achieved
178,2023-11-01,2023,11,November,M3,Mumbai,Amaretto,124.0,-83.0,0.0,130.0,Not Achieved
179,2023-12-01,2023,12,December,M3,Mumbai,Amaretto,42.0,12.0,10.0,30.0,Achieved
180,2024-01-01,2024,1,January,M3,Mumbai,Amaretto,129.0,21.0,20.0,110.0,Achieved
181,2024-02-01,2024,2,February,M3,Mumbai,Amaretto,120.0,45.0,40.0,100.0,Achieved
182,2024-03-01,2024,3,March,M3,Mumbai,Amaretto,133.0,-6.0,10.0,140.0,Not Achieved
183,2024-04-01,2024,4,April,M3,Mumbai,Amaretto,160.0,58.0,50.0,170.0,Not Achieved
184,2024-05-01,2024,5,May,M3,Mumbai,Amaretto,322.0,199.0,130.0,290.0,Achieved
185,2024-06-01,2024,6,June,M3,Mumbai,Amaretto,135.0,43.0,40.0,120.0,Achieved
186,2024-07-01,2024,7,July,M3,Mumbai,Amaretto,109.0,-131.0,0.0,120.0,Not Achieved
187,2024-08-01,2024,8,August,M3,Mumbai,Amaretto,44.0,15.0,20.0,40.0,Achieved
188,2024-09-01,2024,9,September,M3,Mumbai,Amaretto,155.0,33.0,30.0,140.0,Achieved
189,2024-10-01,2024,10,October,M3,Mumbai,Amaretto,135.0,55.0,50.0,110.0,Achieved
190,2024-11-01,2024,11,November,M3,Mumbai,Amaretto,119.0,-10.0,20.0,130.0,Not Achieved
191,2024-12-01,2024,12,December,M3,Mumbai,Amaretto,148.0,53.0,50.0,160.0,Not Achieved
192,2025-01-01,2025,1,January,M3,Mumbai,Amaretto,116.0,-10.0,30.0,90.0,Achieved
193,2025-02-01,2025,2,February,M3,Mumbai,Amaretto,169.0,86.0,70.0,100.0,Achieved
194,2025-03-01,2025,3,March,M3,Mumbai,Amaretto,116.0,-9.0,10.0,60.0,Achieved
195,2025-04-01,2025,4,April,M3,Mumbai,Amaretto,56.0,22.0,30.0,30.0,Achieved
196,2025-05-01,2025,5,May,M3,Mumbai,Amaretto,55.0,21.0,20.0,30.0,Achieved
197,2025-06-01,2025,6,June,M3,Mumbai,Amaretto,131.0,40.0,60.0,100.0,Achieved
198,2025-07-01,2025,7,July,M3,Mumbai,Amaretto,251.0,129.0,110.0,210.0,Achieved
199,2025-08-01,2025,8,August,M3,Mumbai,Amaretto,134.0,24.0,50.0,110.0,Achieved
200,2025-09-01,2025,9,September,M3,Mumbai,Amaretto,131.0,71.0,70.0,150.0,Not Achieved
201,2025-10-01,2025,10,October,M3,Mumbai,Amaretto,567.0,291.0,290.0,680.0,Not Achieved
202,2025-11-01,2025,11,November,M3,Mumbai,Amaretto,387.0,159.0,170.0,460.0,Not Achieved
203,2025-12-01,2025,12,December,M3,Mumbai,Amaretto,239.0,22.0,20.0,210.0,Achieved
204,2026-01-01,2026,1,January,M3,Mumbai,Amaretto,128.0,-12.0,0.0,110.0,Achieved
205,2026-02-01,2026,2,February,M3,Mumbai,Amaretto,65.0,-300.0,0.0,50.0,Achieved
206,2026-03-01,2026,3,March,M3,Mumbai,Amaretto,309.0,188.0,100.0,220.0,Achieved
207,2026-04-01,2026,4,April,M3,Mumbai,Amaretto,308.0,39.0,40.0,280.0,Achieved
208,2026-05-01,2026,5,May,M3,Mumbai,Amaretto,60.0,24.0,40.0,70.0,Not Achieved
209,2026-06-01,2026,6,June,M3,Mumbai,Amaretto,141.0,76.0,80.0,160.0,Not Achieved
210,2026-07-01,2026,7,July,M3,Mumbai,Amaretto,175.0,67.0,70.0,200.0,Not Achieved
211,2026-08-01,2026,8,August,M3,Mumbai,Amaretto,157.0,3.0,10.0,140.0,Achieved
212,2026-09-01,2026,9,September,M3,Mumbai,Amaretto,113.0,-12.0,10.0,100.0,Achieved
213,2026-10-01,2026,10,October,M3,Mumbai,Amaretto,150.0,73.0,30.0,100.0,Achieved
214,2026-11-01,2026,11,November,M3,Mumbai,Amaretto,113.0,-10.0,0.0,80.0,Achieved
215,2026-12-01,2026,12,December,M3,Mumbai,Amaretto,85.0,43.0,30.0,60.0,Achieved
216,2021-01-01,2021,1,January,M1,Mumbai,Caffe Latte,180.0,53.0,50.0,150.0,Achieved
217,2021-02-01,2021,2,February,M1,Mumbai,Caffe Latte,456.0,140.0,150.0,430.0,Achieved
218,2021-03-01,2021,3,March,M1,Mumbai,Caffe Latte,180.0,8.0,10.0,150.0,Achieved
219,2021-04-01,2021,4,April,M1,Mumbai,Caffe Latte,65.0,-8.0,0.0,50.0,Achieved
220,2021-05-01,2021,5,May,M1,Mumbai,Caffe Latte,200.0,66.0,70.0,170.0,Achieved
221,2021-06-01,2021,6,June,M1,Mumbai,Caffe Latte,43.0,11.0,20.0,40.0,Achieved
222,2021-07-01,2021,7,July,M1,Mumbai,Caffe Latte,130.0,16.0,20.0,120.0,Achieved
223,2021-08-01,2021,8,August,M1,Mumbai,Caffe Latte,114.0,44.0,40.0,100.0,Achieved
224,2021-09-01,2021,9,September,M1,Mumbai,Caffe Latte,110.0,35.0,40.0,100.0,Achieved
225,2021-10-01,2021,10,October,M1,Mumbai,Caffe Latte,189.0,58.0,60.0,160.0,Achieved
226,2021-11-01,2021,11,November,M1,Mumbai,Caffe Latte,457.0,142.0,150.0,430.0,Achieved
227,2021-12-01,2021,12,December,M1,Mumbai,Caffe Latte,155.0,2.0,10.0,130.0,Achieved
228,2022-01-01,2022,1,January,M1,Mumbai,Caffe Latte,68.0,-7.0,0.0,50.0,Achieved
229,2022-02-01,2022,2,February,M1,Mumbai,Caffe Latte,206.0,70.0,70.0,170.0,Achieved
230,2022-03-01,2022,3,March,M1,Mumbai,Caffe Latte,43.0,31.0,30.0,40.0,Achieved
231,2022-04-01,2022,4,April,M1,Mumbai,Caffe Latte,132.0,18.0,20.0,120.0,Achieved
232,2022-05-01,2022,5,May,M1,Mumbai,Caffe Latte,103.0,38.0,30.0,90.0,Achieved
233,2022-06-01,2022,6,June,M1,Mumbai,Caffe Latte,110.0,35.0,40.0,100.0,Achieved
234,2022-07-01,2022,7,July,M1,Mumbai,Caffe Latte,180.0,54.0,50.0,150.0,Achieved
235,2022-08-01,2022,8,August,M1,Mumbai,Caffe Latte,478.0,149.0,150.0,450.0,Achieved
236,2022-09-01,2022,9,September,M1,Mumbai,Caffe Latte,150.0,1.0,0.0,120.0,Achieved
237,2022-10-01,2022,10,October,M1,Mumbai,Caffe Latte,75.0,-3.0,10.0,60.0,Achieved
238,2022-11-01,2022,11,November,M1,Mumbai,Caffe Latte,214.0,74.0,80.0,180.0,Achieved
239,2022-12-01,2022,12,December,M1,Mumbai,Caffe Latte,43.0,31.0,30.0,40.0,Achieved
240,2023-01-01,2023,1,January,M1,Mumbai,Caffe Latte,129.0,15.0,20.0,120.0,Achieved
241,2023-02-01,2023,2,February,M1,Mumbai,Caffe Latte,118.0,45.0,50.0,110.0,Achieved
242,2023-03-01,2023,3,March,M1,Mumbai,Caffe Latte,112.0,35.0,40.0,100.0,Achieved
243,2023-04-01,2023,4,April,M1,Mumbai,Caffe Latte,170.0,48.0,50.0,140.0,Achieved
244,2023-05-01,2023,5,May,M1,Mumbai,Caffe Latte,478.0,148.0,150.0,450.0,Achieved
245,2023-06-01,2023,6,June,M1,Mumbai,Caffe Latte,150.0,1.0,0.0,120.0,Achieved
246,2023-07-01,2023,7,July,M1,Mumbai,Caffe Latte,65.0,-9.0,0.0,50.0,Achieved
247,2023-08-01,2023,8,August,M1,Mumbai,Caffe Latte,267.0,98.0,90.0,220.0,Achieved
248,2023-09-01,2023,9,September,M1,Mumbai,Caffe Latte,43.0,32.0,30.0,40.0,Achieved
249,2023-10-01,2023,10,October,M1,Mumbai,Caffe Latte,121.0,13.0,20.0,110.0,Achieved
250,2023-11-01,2023,11,November,M1,Mumbai,Caffe Latte,112.0,43.0,40.0,100.0,Achieved
251,2023-12-01,2023,12,December,M1,Mumbai,Caffe Latte,103.0,32.0,30.0,90.0,Achieved
252,2024-01-01,2024,1,January,M1,Mumbai,Caffe Latte,160.0,44.0,50.0,130.0,Achieved
253,2024-02-01,2024,2,February,M1,Mumbai,Caffe Latte,521.0,165.0,180.0,500.0,Achieved
254,2024-03-01,2024,3,March,M1,Mumbai,Caffe Latte,154.0,3.0,10.0,130.0,Achieved
255,2024-04-01,2024,4,April,M1,Mumbai,Caffe Latte,76.0,-4.0,10.0,60.0,Achieved
256,2024-05-01,2024,5,May,M1,Mumbai,Caffe Latte,273.0,101.0,100.0,230.0,Achieved
257,2024-06-01,2024,6,June,M1,Mumbai,Caffe Latte,43.0,31.0,30.0,40.0,Achieved
258,2024-07-01,2024,7,July,M1,Mumbai,Caffe Latte,118.0,11.0,20.0,110.0,Achieved
259,2024-08-01,2024,8,August,M1,Mumbai,Caffe Latte,97.0,36.0,50.0,90.0,Achieved
